Ray Number,Pos X,Pos Y,Pos Z,Cos X,Cos Y,Cos Z,Element,Event
1,-3.54708266258,-4.38914108276,60.3453826904,0,0,0,-1,CREATE
1,-3.5365588665,-1.51651306624e-07,57.3757591248,0,0,0,127,ABSORB
2,13.3240804672,-24.0959720612,31.4297447205,0,0,0,-1,CREATE
2,13.425658226,23.8819408417,-1.35240590572,0,0,0,48,REFLECT
3,-1.13691568375,-20.5173606873,36.6901664734,0,0,0,-1,CREATE
3,-1.3368473053,31.747959137,0.907614350319,0,0,0,8,REFLECT
4,22.9647483826,-26.7804050446,27.4847507477,0,0,0,-1,CREATE
4,22.9974040985,14.9531478882,-0.801652550697,0,0,0,67,REFLECT
5,-0.333527386189,-3.04379034042,62.3157424927,0,0,0,-1,CREATE
5,-0.328404307365,3.78923203925e-08,60.243183136,0,0,0,127,ABSORB
6,0.469862878323,-22.5328769684,33.7329139709,0,0,0,-1,CREATE
6,0.446584254503,28.1588916779,-1.01761388779,0,0,0,24,REFLECT
7,29.3918590546,-26.1058483124,28.4686489105,0,0,0,-1,CREATE
7,29.4305858612,14.4416217804,0.650937139988,0,0,0,61,REFLECT
8,-3.279286623,-19.8461475372,37.6763420105,0,0,0,-1,CREATE
8,-3.23078227043,32.9215621948,1.50003182888,0,0,0,2,REFLECT
9,3.95121240616,-3.7141661644,61.328994751,0,0,0,-1,CREATE
9,3.96092200279,1.61535126608e-07,58.7903022766,0,0,0,127,ABSORB
10,-2.47589826584,-2.37257814407,63.3019180298,0,0,0,-1,CREATE
10,-2.47069191933,-1.35618989816e-07,61.6885566711,0,0,0,127,ABSORB
11,27.2494888306,-27.7868041992,26.0051994324,0,0,0,-1,CREATE
11,27.23179245,11.8901014328,-1.01118254662,0,0,0,76,ABSORB
12,0.737658977509,-5.3955411911,58.8658294678,0,0,0,-1,CREATE
12,0.737385690212,5.50582285541e-07,55.1707992554,0,0,0,127,ABSORB
13,3.147824049,-21.5237598419,35.2106132507,0,0,0,-1,CREATE
13,3.22301530838,29.8370857239,0.0363834835589,0,0,0,16,REFLECT
14,1.80884337425,-4.0510263443,60.8367652893,0,0,0,-1,CREATE
14,1.78763747215,8.34035631669e-08,58.0882377625,0,0,0,127,ABSORB
15,-16.6690998077,-22.6515750885,33.5732040405,0,0,0,-1,CREATE
15,-16.5784187317,26.1804733276,0.250501334667,0,0,0,88,REFLECT
16,-4.61826896667,-2.03739023209,63.7952957153,0,0,0,-1,CREATE
16,-4.6281003952,-4.90572631406e-08,62.4100379944,0,0,0,127,ABSORB
17,15.4664487839,-23.087064743,32.907585144,0,0,0,-1,CREATE
17,13.680560112,25.7692337036,-0.344363391399,0,0,0,43,REFLECT
18,25.4641819,-25.7713546753,28.9624977112,0,0,0,-1,CREATE
18,25.5203838348,16.0732250214,0.314357668161,0,0,0,58,REFLECT
19,-1.04765033722,-0.859912037849,65.5191574097,0,0,0,-1,CREATE
19,-1.0473498106,6.40791029127e-08,64.9298934937,0,0,0,127,ABSORB
20,-13.0984830856,-24.1622886658,31.3546390533,0,0,0,-1,CREATE
20,-13.0188846588,23.5390377045,-1.44075298309,0,0,0,100,REFLECT
21,-14.7052612305,-21.4747238159,35.2974967957,0,0,0,-1,CREATE
21,-14.5144872665,28.6119480133,1.3014690876,0,0,0,80,REFLECT
22,2.16590499878,-4.89094781876,59.6046600342,0,0,0,-1,CREATE
22,2.18192100525,1.04685227598e-07,56.2569046021,0,0,0,127,ABSORB
23,22.2506217957,-27.2847194672,26.7457351685,0,0,0,-1,CREATE
23,22.2963829041,14.0493659973,-1.35706007481,0,0,0,72,REFLECT
24,-25.9527053833,-25.5114040375,29.386844635,0,0,0,-1,CREATE
24,-26.0746898651,16.6593093872,0.709796607494,0,0,0,109,REFLECT
25,17.4302902222,-21.9102134705,34.6318740845,0,0,0,-1,CREATE
25,17.1587467194,27.4552459717,1.10065412521,0,0,0,30,REFLECT
26,-24.881521225,-26.1830329895,28.4009532928,0,0,0,-1,CREATE
26,-24.9831027985,15.4877262115,0.019816339016,0,0,0,115,REFLECT
27,-3.19002127647,-2.87689328194,62.5629043579,0,0,0,-1,CREATE
27,-3.20272231102,1.25556852026e-07,60.597946167,0,0,0,127,ABSORB
28,-15.2408542633,-23.4910793304,32.3408203125,0,0,0,-1,CREATE
28,-15.3030586243,24.6885070801,-0.650377452374,0,0,0,94,REFLECT
29,-2.38663291931,-23.038028717,32.994468689,0,0,0,-1,CREATE
29,-2.48993802071,27.4809932709,-1.48829805851,0,0,0,22,REFLECT
30,26.5353660583,-26.6109981537,27.7302036285,0,0,0,-1,CREATE
30,26.4555530548,14.4915142059,-0.0969278588891,0,0,0,65,REFLECT
31,16.8946990967,-23.9265670776,31.6751976013,0,0,0,-1,CREATE
31,17.0115280151,23.6510791779,-0.882295906544,0,0,0,46,REFLECT
32,3.23708939552,-1.86631214619,64.039604187,0,0,0,-1,CREATE
